영상명,조건,프레임 범위,ID Switch 수,실패 수,관찰 메모
19.mp4,단일 객체 이동,89–149,해당 없음,0,M01; GT 1; 문 앞 접근; 재출발은 중복 집계하지 않음; 제외 후보 []; 누락 없음; ID 변경 없음
18.mp4,단일 객체 이동,139–189,해당 없음,0,M02; GT 1; 스위치 조작 후 이동; 제외 후보 []; 누락 없음; ID 변경 없음
17.mp4,단일 객체 이동,79–169,해당 없음,0,M03; GT 1; 블라인드 접근; 왕복 중 1회; 제외 후보 []; 누락 없음; ID 변경 없음
15.mp4,단일 객체 이동,104–154,해당 없음,0,M04; GT 1; 기둥 가림 전 이동만 평가; 제외 후보 []; 누락 없음; ID 변경 없음
16.mp4,단일 객체 이동,94–129,해당 없음,0,M05; GT 1; 계단 이동; 벽 뒤 구간은 평가창 밖; 제외 후보 []; 누락 없음; ID 변경 없음
02.mpg,단일 객체 이동,30–85,해당 없음,0,M06; GT 0; 첫 번째 파란 상의 인물; 배경 인물 제외; 제외 후보 []; 누락 없음; ID 변경 없음
02.mpg,단일 객체 이동,310–445,해당 없음,1,M07; GT 1; 두 번째 붉은 상의 인물; 배경 인물 제외; 제외 후보 []; 누락 GT1 378–445; ID 변경 없음
01.mpg,단일 객체 이동,80–120,해당 없음,0,M08; GT 3; 검은 옷 인물의 만남 전 이동; 제외 후보 []; 누락 없음; ID 변경 없음
03.mpg,단일 객체 이동,105–325,해당 없음,1,M09; GT 1; 갈색 상의 인물 정지 전 이동; 제외 후보 []; 누락 GT1 105–125; ID 변경 없음
03.mpg,단일 객체 이동,430–590,해당 없음,5,M10; GT 2; 검은 옷 여성의 별도 진입; 제외 후보 []; 누락 GT2 468–480; GT2 493–506; GT2 516–535; GT2 538–560; GT2 562–582; ID 변경 없음
01.mpg,두 객체 겹침,110–240,2,4,"O01; GT 1,3; 주연 두 사람 만남; 약한 실루엣 겹침; 제외 후보 []; 누락 GT1 163–174; GT1 187–203; GT1 220–231; GT3 155–222; ID 변경 GT1 ID2→6 209–213; GT3 ID4→6 228–232"
