video,condition,frame_start,frame_end,id_switches,failures,occlusion,observation,reviewer,review_status,evidence,metric_scope,overlap_start,overlap_end
single_01.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_01.jpg,all_confirmed_id_changes,,
single_02.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 끝부분에 추가 ID 2 박스가 보이나 대상 연결은 ID 1 유지.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_02.jpg,all_confirmed_id_changes,,
single_03.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_03.jpg,all_confirmed_id_changes,,
single_04.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_04.jpg,all_confirmed_id_changes,,
single_05.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 끝부분에 추가 ID 2 박스가 보이나 대상 연결은 ID 1 유지.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_05.jpg,all_confirmed_id_changes,,
single_06.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_06.jpg,all_confirmed_id_changes,,
single_07.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_07.jpg,all_confirmed_id_changes,,
single_08.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 끝부분에 추가 ID 2 박스가 보이나 대상 연결은 ID 1 유지.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_08.jpg,all_confirmed_id_changes,,
single_09.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_09.jpg,all_confirmed_id_changes,,
single_10.mp4,단일 객체 이동,50,574,0,0,없음,f50~574 대상 연결 ID 1 유지. 시작·중간·끝 캡처에서 이동과 ID 유지 확인.,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/single_10.jpg,all_confirmed_id_changes,,
crossing_01.mp4,두 객체 겹침,50,574,2,1,GT1 f281~319,GT1 1→4 f320~324; GT2 2→1 f281~285. GT2 미검출 f262~280(19프레임).,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_01.jpg,all_confirmed_id_changes,,
crossing_02.mp4,두 객체 겹침,50,574,3,0,GT1 f286~319,"GT1 1→3 f262~266, 3→5 f329~333; GT2 2→3 f301~305. 최장 미검출 9프레임은 실패 제외.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_02.jpg,all_confirmed_id_changes,,
crossing_03.mp4,두 객체 겹침,50,574,3,1,GT1 f284~326,"GT1 1→2 f279~283; GT2 2→4 f330~334, 4→5 f420~424. GT2 미검출 f262~272(11프레임).",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_03.jpg,all_confirmed_id_changes,,
crossing_04.mp4,두 객체 겹침,50,574,2,1,GT1 f284~316,GT1 1→4 f320~324; GT2 2→3 f308~312. GT2 미검출 f262~273(12프레임).,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_04.jpg,all_confirmed_id_changes,,
crossing_05.mp4,두 객체 겹침,50,574,3,0,GT1 f284~321,"GT1 1→3 f262~266; GT2 2→3 f301~305, 3→1 f327~331. 9프레임·8프레임 미검출은 각각 실패 제외.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_05.jpg,all_confirmed_id_changes,,
crossing_06.mp4,두 객체 겹침,50,574,4,1,GT1 f286~324,"GT1 1→4 f334~338, 4→6 f420~424, 6→4 f429~433; GT2 2→5 f420~424. GT2 미검출 f262~272(11프레임).",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_06.jpg,all_confirmed_id_changes,,
crossing_07.mp4,두 객체 겹침,50,574,2,1,GT1 f281~319,GT1 1→4 f320~324; GT2 2→1 f281~285. GT2 미검출 f262~280(19프레임).,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_07.jpg,all_confirmed_id_changes,,
crossing_08.mp4,두 객체 겹침,50,574,3,0,GT1 f286~319,"GT1 1→3 f262~266, 3→5 f329~333; GT2 2→3 f301~305. 최장 미검출 9프레임은 실패 제외.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_08.jpg,all_confirmed_id_changes,,
crossing_09.mp4,두 객체 겹침,50,574,3,1,GT1 f284~326,"GT1 1→2 f279~283; GT2 2→4 f330~334, 4→5 f420~424. GT2 미검출 f262~272(11프레임).",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_09.jpg,all_confirmed_id_changes,,
crossing_10.mp4,두 객체 겹침,50,574,2,1,GT1 f284~316,GT1 1→4 f320~324; GT2 2→3 f308~312. GT2 미검출 f262~273(12프레임).,Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/crossing_10.jpg,all_confirmed_id_changes,,
stopping_01.mp4,객체 일시 정지,50,574,1,1,없음,"미검출 f235~385(151프레임), 실패 확정 f244. 재이동 ID 1→2 f386~390. 정지 전·흡수·재이동 캡처 대조.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/stopping_01.jpg,all_confirmed_id_changes,,
stopping_02.mp4,객체 일시 정지,50,574,1,1,없음,"미검출 f235~385(151프레임), 실패 확정 f244. 재이동 ID 1→2 f386~390. 정지 전·흡수·재이동 캡처 대조.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/stopping_02.jpg,all_confirmed_id_changes,,
stopping_03.mp4,객체 일시 정지,50,574,1,1,없음,"미검출 f235~385(151프레임), 실패 확정 f244. 재이동 ID 1→2 f386~390. 정지 전·흡수·재이동 캡처 대조.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/stopping_03.jpg,all_confirmed_id_changes,,
stopping_04.mp4,객체 일시 정지,50,574,1,1,없음,"미검출 f235~385(151프레임), 실패 확정 f244. 재이동 ID 1→2 f386~390. 정지 전·흡수·재이동 캡처 대조.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/stopping_04.jpg,all_confirmed_id_changes,,
stopping_05.mp4,객체 일시 정지,50,574,1,1,없음,"미검출 f235~385(151프레임), 실패 확정 f244. 재이동 ID 1→2 f386~390. 정지 전·흡수·재이동 캡처 대조.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/stopping_05.jpg,all_confirmed_id_changes,,
lighting_01.mp4,조명 변화,50,574,0,2,없음,"미검출 구간 f300~309(10), f551~561(11). ID 1 유지.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/lighting_01.jpg,all_confirmed_id_changes,,
lighting_02.mp4,조명 변화,50,574,0,2,없음,"미검출 구간 f300~309(10), f551~562(12). ID 2는 최대 4연속으로 변경 제외.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/lighting_02.jpg,all_confirmed_id_changes,,
lighting_03.mp4,조명 변화,50,574,2,2,없음,"미검출 구간 f300~309(10), f551~562(12). ID 1→2 f326~330, 2→1 f334~338.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/lighting_03.jpg,all_confirmed_id_changes,,
lighting_04.mp4,조명 변화,50,574,0,2,없음,"미검출 구간 f300~309(10), f551~561(11). ID 1 유지.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/lighting_04.jpg,all_confirmed_id_changes,,
lighting_05.mp4,조명 변화,50,574,1,2,없음,"미검출 구간 f300~309(10), f540~574(35). ID 1→2 f318~322.",Codex (AI),ai_log_and_sampled_frame_review,results/visual-review/lighting_05.jpg,all_confirmed_id_changes,,
single_01.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_01.mp4,no_overlap,,
single_02.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_02.mp4,no_overlap,,
single_03.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_03.mp4,no_overlap,,
single_04.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_04.mp4,no_overlap,,
single_05.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_05.mp4,no_overlap,,
single_06.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_06.mp4,no_overlap,,
single_07.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_07.mp4,no_overlap,,
single_08.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_08.mp4,no_overlap,,
single_09.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_09.mp4,no_overlap,,
single_10.mp4,단일 객체 이동,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/single_10.mp4,no_overlap,,
crossing_01.mp4,두 객체 겹침,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/crossing_01.mp4,post_overlap_switches,265,335
crossing_02.mp4,두 객체 겹침,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/crossing_02.mp4,post_overlap_switches,264,340
crossing_03.mp4,두 객체 겹침,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/crossing_03.mp4,post_overlap_switches,264,346
crossing_04.mp4,두 객체 겹침,50,574,,,,"25초 전체 영상 중 f50~574 관찰. 사각형 내부 1/2는 실제 객체, ID 표시는 추적 번호. 직접 관찰 후 계수·가림·메모·검토자 기록.",,needs_human_review,results/videos/crossing_04.mp4,post_overlap_switches,265,335
