frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,,,,,,0
26,1.04,,,,,,0
27,1.08,,,,,,0
28,1.12,,,,,,0
29,1.16,,,,,,0
30,1.2,,,,,,0
31,1.24,,,,,,0
32,1.28,,,,,,0
33,1.32,,,,,,0
34,1.36,,,,,,0
35,1.4,,,,,,0
36,1.44,,,,,,0
37,1.48,,,,,,0
38,1.52,,,,,,0
39,1.56,,,,,,0
40,1.6,,,,,,0
41,1.64,,,,,,0
42,1.68,,,,,,0
43,1.72,,,,,,0
44,1.76,,,,,,0
45,1.8,,,,,,0
46,1.84,,,,,,0
47,1.88,,,,,,0
48,1.92,,,,,,0
49,1.96,,,,,,0
50,2.0,,,,,,0
51,2.04,,,,,,0
52,2.08,,,,,,0
53,2.12,,,,,,0
54,2.16,,,,,,0
55,2.2,,,,,,0
56,2.24,,,,,,0
57,2.28,,,,,,0
58,2.32,,,,,,0
59,2.36,,,,,,0
60,2.4,,,,,,0
61,2.44,,,,,,0
62,2.48,,,,,,0
63,2.52,,,,,,0
64,2.56,,,,,,0
65,2.6,,,,,,0
66,2.64,,,,,,0
67,2.68,,,,,,0
68,2.72,,,,,,0
69,2.76,,,,,,0
70,2.8,,,,,,0
71,2.84,,,,,,0
72,2.88,,,,,,0
73,2.92,,,,,,0
74,2.96,,,,,,0
75,3.0,,,,,,0
76,3.04,,,,,,0
77,3.08,1,176,8,10,8,0
78,3.12,1,173,8,13,8,0
79,3.16,1,174,0,12,16,0
80,3.2,1,159,0,33,32,0
80,3.2,2,313,23,15,9,0
81,3.24,1,159,0,33,32,0
81,3.24,2,313,22,15,10,0
82,3.28,1,159,0,30,32,0
82,3.28,2,313,22,15,10,0
83,3.32,1,159,0,30,32,0
83,3.32,2,313,22,15,10,0
83,3.32,3,32,0,10,9,0
83,3.32,4,347,207,5,26,0
84,3.36,1,148,0,44,25,0
84,3.36,2,320,0,16,32,0
84,3.36,3,16,0,40,9,0
84,3.36,4,342,185,10,96,0
84,3.36,5,56,104,17,16,0
84,3.36,6,168,31,8,12,0
84,3.36,7,264,23,16,17,0
85,3.4,1,148,0,41,25,0
85,3.4,2,327,0,9,24,0
85,3.4,3,16,0,40,9,0
85,3.4,4,322,178,30,110,0
85,3.4,5,59,104,14,16,0
85,3.4,6,168,31,8,11,0
85,3.4,7,264,23,16,17,0
86,3.44,1,148,0,41,25,0
86,3.44,2,320,0,16,32,0
86,3.44,3,16,0,40,9,0
86,3.44,4,308,161,44,127,0
86,3.44,5,57,104,16,16,0
86,3.44,7,264,23,16,26,0
86,3.44,8,0,191,15,9,0
87,3.48,1,148,0,44,28,0
87,3.48,2,320,0,16,32,0
87,3.48,3,16,0,40,9,0
87,3.48,4,299,101,53,187,0
87,3.48,5,57,104,16,16,0
87,3.48,7,264,23,16,25,0
87,3.48,9,344,35,8,37,0
88,3.52,1,148,0,44,29,0
88,3.52,2,315,0,21,32,0
88,3.52,3,16,0,40,9,0
88,3.52,4,292,93,60,195,0
88,3.52,5,57,103,16,17,0
88,3.52,7,264,23,16,25,0
88,3.52,8,0,191,15,11,0
88,3.52,9,336,34,16,40,0
89,3.56,1,148,0,44,29,0
89,3.56,2,315,0,21,32,0
89,3.56,3,16,0,40,9,0
89,3.56,4,286,82,66,206,0
89,3.56,5,57,103,16,17,0
89,3.56,7,264,23,16,25,0
89,3.56,9,336,35,16,44,0
90,3.6,1,148,0,44,29,0
