condition,algorithm,reference_keypoints,scene_keypoints,matches,inliers,match_rate,found,object_pixels,covered_pixels,occlusion_fraction
r0,ORB_app,907,932,687,675,0.7574421168687983,1,113523,0,0.0
r0,SIFT_reference,127,127,126,126,0.9921259842519685,,113523,0,0.0
r30,ORB_app,907,998,17,11,0.018743109151047408,0,113523,0,0.0
r30,SIFT_reference,127,155,18,6,0.14173228346456693,,113523,0,0.0
r60,ORB_app,907,1134,2,0,0.002205071664829107,0,113523,0,0.0
r60,SIFT_reference,127,171,8,4,0.06299212598425197,,113523,0,0.0
l1c1,ORB_app,907,1448,11,4,0.012127894156560088,0,113523,0,0.0
l1c1,SIFT_reference,127,260,3,0,0.023622047244094488,,113523,0,0.0
l8c1,ORB_app,907,1021,499,483,0.5501653803748622,1,113523,0,0.0
l8c1,SIFT_reference,127,145,91,89,0.7165354330708661,,113523,0,0.0
i110,ORB_app,907,996,490,474,0.5402425578831312,1,113523,0,0.0
i110,SIFT_reference,127,133,88,87,0.6929133858267716,,113523,0,0.0
i250,ORB_app,907,933,569,553,0.6273428886438809,1,113523,0,0.0
i250,SIFT_reference,127,123,105,105,0.8267716535433071,,113523,0,0.0
occlusion30,ORB_app,907,835,510,497,0.5622932745314223,1,113523,34057,0.30000088087876464
occlusion30,SIFT_reference,127,117,88,88,0.6929133858267716,,113523,34057,0.30000088087876464
occlusion50,ORB_app,907,629,328,317,0.36163175303197354,1,113523,56762,0.5000044043938233
occlusion50,SIFT_reference,127,86,51,51,0.4015748031496063,,113523,56762,0.5000044043938233
