condition,learning_rate,kernel,mean_foreground_fraction_f300_399
stopping,0.001,1,0.0033226562500000005
lighting,0.001,1,0.9761285156250001
stopping,0.001,3,0.003123828125
lighting,0.001,3,0.9759233072916668
stopping,0.001,7,0.0022643229166666667
lighting,0.001,7,0.9758369791666667
stopping,0.01,1,0.0008272135416666666
lighting,0.01,1,0.10415234374999999
stopping,0.01,3,0.0006856770833333334
lighting,0.01,3,0.10357513020833332
stopping,0.01,7,2.6041666666666665e-05
lighting,0.01,7,0.09898997395833334
stopping,0.1,1,6.250000000000001e-06
lighting,0.1,1,5.9895833333333344e-05
stopping,0.1,3,0.0
lighting,0.1,3,0.0
stopping,0.1,7,0.0
lighting,0.1,7,0.0
