frame,gt_id,track_id,excluded,x,y,w,h
17,0,,1,250.5,283.5,23.0,3.0
18,0,,1,251.0,281.0,22.0,6.0
19,0,,1,247.5,281.0,25.0,6.0
20,0,,1,247.5,281.0,25.0,6.0
21,0,,1,241.5,275.5,31.0,11.0
22,0,,1,241.0,271.5,32.0,15.0
23,0,,1,223.5,267.5,49.0,19.0
24,0,,1,219.0,265.0,54.0,22.0
25,0,1,0,219.0,263.5,54.0,23.0
26,0,1,0,217.0,263.5,56.0,23.0
27,0,1,0,215.5,263.0,57.0,24.0
28,0,1,0,213.0,263.0,60.0,24.0
29,0,1,0,212.0,261.5,58.0,25.0
30,0,1,0,210.0,259.0,58.0,28.0
31,0,1,0,208.5,255.0,55.0,30.0
32,0,1,0,208.0,254.0,56.0,30.0
33,0,1,0,207.0,251.0,50.0,30.0
34,0,1,0,206.0,243.5,48.0,35.0
35,0,1,0,204.0,238.5,50.0,37.0
36,0,1,0,202.5,234.5,51.0,39.0
37,0,1,0,202.5,231.5,51.0,39.0
38,0,1,0,200.5,230.0,53.0,38.0
39,0,1,0,200.0,229.0,54.0,38.0
39,4,,0,17.0,210.0,12.0,4.0
40,0,1,0,200.0,229.0,54.0,34.0
40,4,,0,17.0,210.0,12.0,4.0
41,0,1,0,200.0,229.0,54.0,28.0
41,4,,0,17.0,208.5,12.0,5.0
42,0,1,0,200.0,228.5,54.0,25.0
42,4,,0,17.0,208.5,12.0,5.0
43,0,1,0,200.0,228.5,54.0,23.0
43,4,,0,16.5,208.5,17.0,5.0
44,0,1,0,199.5,220.5,51.0,27.0
44,4,,0,16.5,208.0,17.0,6.0
45,0,1,0,198.5,214.5,51.0,31.0
45,4,,0,16.5,208.0,17.0,6.0
46,0,1,0,198.5,209.5,49.0,33.0
46,4,,0,17.0,206.5,18.0,7.0
47,0,1,0,198.5,206.0,49.0,34.0
47,4,,0,17.0,206.5,18.0,7.0
48,0,1,0,198.5,201.5,49.0,35.0
48,4,,0,16.5,206.5,19.0,7.0
49,0,1,0,200.0,200.0,46.0,36.0
49,4,,0,16.5,206.0,19.0,8.0
50,0,1,0,200.0,198.0,46.0,38.0
50,4,,0,18.5,206.0,17.0,6.0
51,0,1,0,200.0,196.5,46.0,39.0
51,4,,0,18.5,206.0,17.0,6.0
52,0,1,0,200.0,196.0,46.0,40.0
52,4,,0,18.5,204.5,17.0,7.0
53,0,1,0,200.0,196.0,46.0,40.0
53,4,,0,19.0,204.5,18.0,7.0
54,0,1,0,200.0,195.5,46.0,39.0
54,4,2,0,19.0,204.0,18.0,8.0
55,0,1,0,200.0,196.0,46.0,36.0
55,4,2,0,19.0,202.5,18.0,9.0
56,0,1,0,200.0,193.5,46.0,31.0
56,4,,0,18.5,202.5,21.0,9.0
57,0,1,0,200.0,190.5,46.0,27.0
57,4,,0,19.0,202.5,22.0,9.0
58,0,1,0,200.0,188.0,46.0,30.0
58,4,2,0,19.0,202.5,24.0,9.0
59,0,1,0,200.0,184.5,46.0,33.0
59,4,,0,19.5,202.5,23.0,7.0
60,0,1,0,200.0,181.5,46.0,35.0
60,4,,0,19.5,202.0,23.0,8.0
