frame,gt_id,track_id,excluded,x,y,w,h
0,0,,1,223.5,187.5,49.0,37.0
0,1,,1,48.5,186.0,33.0,14.0
1,0,,1,226.0,191.5,48.0,37.0
1,1,,1,48.5,186.0,33.0,14.0
1,2,,1,37.0,96.5,18.0,11.0
2,0,,1,226.0,195.5,48.0,35.0
2,1,,1,48.5,186.0,33.0,14.0
2,2,,1,37.5,99.0,15.0,10.0
3,0,,1,231.5,200.5,43.0,33.0
3,1,,1,48.5,186.0,33.0,14.0
3,2,,1,35.5,99.0,19.0,10.0
4,0,,1,235.0,204.5,44.0,29.0
4,1,,1,48.5,186.0,33.0,14.0
4,2,,1,35.5,100.5,23.0,9.0
5,0,,1,237.5,214.0,45.0,24.0
5,1,,1,48.5,186.0,33.0,14.0
5,2,,1,34.0,100.5,22.0,9.0
6,0,,1,238.5,216.0,43.0,26.0
6,1,,1,48.5,186.0,33.0,14.0
6,2,,1,33.0,101.0,22.0,8.0
7,0,,1,240.5,214.5,41.0,31.0
7,1,,1,48.5,186.0,33.0,14.0
7,2,,1,38.0,102.5,18.0,11.0
8,0,,1,242.5,214.5,41.0,37.0
8,1,,1,48.5,186.0,33.0,14.0
8,2,,1,37.5,103.5,19.0,13.0
9,0,,1,244.0,217.0,42.0,40.0
9,1,,1,48.5,186.0,33.0,14.0
9,2,,1,37.5,104.0,19.0,12.0
10,0,,1,245.5,217.5,41.0,43.0
10,1,,1,48.5,186.0,33.0,14.0
10,2,,1,37.5,106.0,19.0,12.0
11,0,,1,247.5,221.0,41.0,40.0
11,1,,1,48.5,186.0,33.0,14.0
11,2,,1,39.0,107.0,18.0,12.0
12,0,,1,248.5,222.5,41.0,43.0
12,1,,1,48.5,186.0,33.0,14.0
12,2,,1,39.0,107.0,18.0,12.0
13,0,,1,252.0,226.5,38.0,43.0
13,1,,1,48.5,186.0,33.0,14.0
13,2,,1,35.5,108.0,21.0,12.0
14,0,,1,256.0,233.0,36.0,40.0
14,1,,1,48.5,186.0,33.0,14.0
14,2,,1,35.5,109.0,21.0,12.0
15,0,,1,257.0,238.5,36.0,39.0
15,1,,1,48.5,186.0,33.0,14.0
15,2,,1,37.0,110.0,20.0,12.0
16,0,,1,259.5,245.5,39.0,35.0
16,1,,1,48.5,186.0,33.0,14.0
16,2,,1,37.0,111.5,20.0,11.0
17,0,,1,262.0,248.0,42.0,36.0
17,1,,1,48.5,186.0,33.0,14.0
17,2,,1,37.5,112.0,19.0,12.0
18,0,,1,264.0,248.0,44.0,36.0
18,1,,1,48.5,186.0,33.0,14.0
18,2,,1,35.5,114.0,21.0,12.0
19,0,,1,265.5,247.5,45.0,39.0
19,1,,1,48.5,186.0,33.0,14.0
19,2,,1,35.5,114.5,21.0,11.0
20,0,,1,269.0,247.5,44.0,39.0
20,1,,1,48.5,186.0,33.0,14.0
20,2,,1,35.5,115.5,21.0,11.0
21,0,,1,270.0,249.5,42.0,37.0
21,1,,1,48.5,186.0,33.0,14.0
21,2,,1,35.5,116.5,21.0,11.0
22,0,,1,273.0,251.5,38.0,35.0
22,1,,1,48.5,186.0,33.0,14.0
22,2,,1,33.0,117.5,22.0,11.0
23,0,,1,278.5,255.5,33.0,31.0
23,1,,1,48.5,186.0,33.0,14.0
23,2,,1,33.0,118.0,22.0,12.0
24,0,,1,284.5,259.5,27.0,27.0
24,1,,1,48.5,186.0,33.0,14.0
24,2,,1,33.0,119.5,22.0,11.0
25,0,1,0,287.5,265.0,25.0,22.0
25,1,,0,48.5,186.0,33.0,14.0
25,2,,0,33.0,120.5,22.0,11.0
26,0,,0,287.5,269.5,25.0,17.0
26,1,,0,48.5,186.0,33.0,14.0
26,2,,0,33.0,120.5,22.0,11.0
27,0,1,0,287.5,275.5,25.0,11.0
27,1,,0,48.5,186.0,33.0,14.0
27,2,,0,33.0,121.5,22.0,11.0
28,1,,0,48.5,186.0,33.0,14.0
