frame,gt_id,track_id,excluded,x,y,w,h
4,0,,1,83.0,7.5,8.0,33.0
5,0,,1,83.0,7.5,8.0,33.0
6,0,,1,83.0,7.5,8.0,33.0
7,0,,1,81.5,7.5,9.0,33.0
8,0,,1,81.0,7.5,10.0,33.0
9,0,,1,80.5,8.0,11.0,34.0
10,0,,1,80.5,8.0,13.0,34.0
11,0,,1,81.0,8.0,14.0,34.0
12,0,,1,82.5,8.0,15.0,32.0
13,0,,1,83.0,7.5,16.0,31.0
14,0,,1,83.5,8.0,15.0,32.0
15,0,,1,85.5,8.0,13.0,32.0
16,0,,1,85.5,8.0,13.0,32.0
17,0,,1,87.5,8.0,11.0,32.0
18,0,,1,87.5,8.0,11.0,32.0
19,0,,1,89.0,7.5,10.0,33.0
20,0,,1,89.0,7.5,10.0,33.0
21,0,,1,88.5,8.0,11.0,34.0
22,0,,1,88.5,8.0,11.0,34.0
23,0,,1,88.5,8.0,13.0,34.0
24,0,,1,88.5,8.0,13.0,34.0
25,0,1,0,89.0,8.0,14.0,34.0
26,0,1,0,89.0,8.0,14.0,34.0
27,0,1,0,89.5,8.0,13.0,34.0
28,0,,0,89.5,8.0,13.0,34.0
29,0,1,0,89.5,8.0,15.0,34.0
30,0,,0,90.0,8.0,16.0,34.0
31,0,,0,90.5,8.0,15.0,34.0
32,0,,0,92.5,8.0,13.0,34.0
33,0,,0,92.5,8.0,13.0,34.0
34,0,,0,93.5,8.0,13.0,34.0
35,0,,0,95.0,7.5,12.0,35.0
36,0,,0,95.0,7.5,12.0,35.0
37,0,,0,95.0,8.0,12.0,36.0
38,0,,0,95.0,8.0,12.0,36.0
39,0,,0,95.0,8.0,12.0,36.0
40,0,,0,95.5,8.0,13.0,36.0
41,0,,0,95.5,8.0,13.0,36.0
42,0,,0,95.5,7.5,13.0,37.0
43,0,,0,95.5,7.5,13.0,37.0
44,0,,0,95.5,7.5,13.0,37.0
45,0,,0,95.5,7.5,13.0,37.0
46,0,,0,95.5,7.5,13.0,37.0
47,0,,0,95.5,7.5,13.0,37.0
48,0,,0,95.0,7.5,14.0,37.0
49,0,,0,93.5,7.5,15.0,37.0
50,0,,0,93.5,7.5,15.0,37.0
51,0,,0,93.5,8.0,15.0,38.0
52,0,,0,93.5,8.0,15.0,38.0
53,0,,0,93.5,8.0,15.0,38.0
54,0,,0,93.5,8.0,15.0,38.0
55,0,,0,93.5,8.0,15.0,38.0
56,0,,0,93.5,8.0,15.0,38.0
57,0,,0,93.5,8.0,15.0,38.0
58,0,,0,93.5,8.0,15.0,38.0
59,0,,0,93.5,8.0,15.0,38.0
60,0,,0,93.5,8.0,15.0,38.0
61,0,,0,95.0,8.0,14.0,38.0
61,1,,0,381.0,278.0,2.0,6.0
62,0,,0,95.0,8.0,14.0,38.0
62,1,,0,379.0,278.0,4.0,6.0
63,0,,0,95.0,8.0,14.0,38.0
63,1,,0,375.5,278.0,7.0,6.0
64,0,,0,95.0,8.0,14.0,38.0
64,1,,0,373.5,278.0,9.0,6.0
65,0,,0,95.0,8.0,14.0,38.0
65,1,,0,371.0,276.0,12.0,8.0
66,0,,0,95.0,8.0,14.0,38.0
66,1,,0,369.0,274.0,14.0,10.0
67,0,,0,95.0,8.0,14.0,38.0
67,1,,0,367.0,272.0,16.0,12.0
68,0,,0,95.0,8.0,14.0,38.0
68,1,2,0,363.5,270.0,19.0,14.0
69,0,,0,95.0,8.0,14.0,38.0
69,1,2,0,363.0,266.5,20.0,17.0
70,0,,0,95.0,8.0,14.0,38.0
70,1,2,0,361.5,242.0,21.0,42.0
71,0,,0,95.0,8.0,14.0,38.0
71,1,2,0,359.5,240.0,23.0,44.0
72,0,,0,93.5,8.0,15.0,38.0
72,1,2,0,359.5,238.0,23.0,46.0
73,0,,0,93.5,8.0,15.0,38.0
73,1,2,0,359.0,238.0,24.0,46.0
74,0,,0,93.5,8.0,15.0,38.0
74,1,2,0,359.0,238.0,24.0,46.0
75,0,,0,94.0,8.0,14.0,38.0
75,1,2,0,357.5,238.0,25.0,46.0
76,0,,0,94.0,8.0,14.0,38.0
76,1,2,0,357.5,238.0,25.0,46.0
77,0,,0,94.0,8.0,14.0,38.0
77,1,2,0,357.5,236.0,25.0,48.0
78,0,,0,94.0,8.0,14.0,38.0
78,1,2,0,357.0,236.0,26.0,48.0
79,0,,0,93.5,7.5,13.0,39.0
79,1,2,0,357.0,234.0,26.0,50.0
80,0,,0,93.0,7.5,14.0,39.0
80,1,2,0,357.0,232.0,26.0,52.0
81,0,,0,93.0,7.5,14.0,39.0
81,1,2,0,355.5,230.0,27.0,54.0
82,0,,0,93.0,7.5,14.0,39.0
82,1,2,0,353.0,226.5,30.0,57.0
83,0,,0,93.0,7.5,14.0,39.0
83,1,2,0,351.5,226.0,31.0,58.0
84,0,,0,93.0,7.5,14.0,39.0
84,1,2,0,351.5,224.0,31.0,60.0
85,0,,0,93.0,7.5,14.0,39.0
85,1,2,0,351.5,222.5,31.0,61.0
86,0,,0,93.0,7.5,14.0,39.0
86,1,2,0,351.0,222.5,32.0,61.0
87,0,,0,93.0,7.5,14.0,39.0
87,1,3,0,351.0,222.5,32.0,61.0
88,0,,0,93.0,7.5,14.0,39.0
88,1,2,0,351.0,222.5,32.0,61.0
89,0,,0,93.0,8.0,14.0,38.0
89,1,3,0,349.0,222.5,34.0,61.0
90,0,,0,93.0,8.0,14.0,38.0
90,1,2,0,347.0,222.0,36.0,62.0
91,0,,0,93.0,7.5,14.0,39.0
91,1,3,0,345.5,222.0,37.0,62.0
92,0,,0,93.0,7.5,14.0,39.0
92,1,3,0,343.5,220.0,39.0,64.0
93,0,,0,93.0,7.5,14.0,39.0
93,1,,0,339.5,218.0,43.0,66.0
94,0,,0,93.0,7.5,14.0,39.0
94,1,3,0,337.5,216.0,45.0,68.0
95,0,,0,92.5,7.5,13.0,39.0
95,1,3,0,335.5,214.0,47.0,70.0
96,0,,0,90.5,7.5,15.0,39.0
96,1,,0,333.0,212.0,50.0,72.0
97,0,,0,90.5,7.5,15.0,39.0
97,1,,0,331.0,210.5,52.0,73.0
98,0,,0,89.0,7.5,16.0,39.0
98,1,3,0,327.5,208.5,55.0,75.0
99,0,,0,89.0,7.5,16.0,39.0
99,1,,0,325.5,208.5,57.0,75.0
100,0,,0,89.0,7.5,16.0,39.0
100,1,,0,323.5,208.5,59.0,75.0
101,0,,0,88.5,7.5,15.0,39.0
101,1,,0,321.5,208.5,61.0,75.0
102,0,,0,88.0,7.5,16.0,39.0
102,1,,0,321.0,208.5,62.0,75.0
103,0,,0,88.0,8.0,16.0,40.0
103,1,,0,319.5,210.0,63.0,74.0
104,0,,0,87.5,8.0,15.0,40.0
104,1,,0,319.0,210.0,64.0,74.0
105,0,,0,87.5,8.0,15.0,40.0
105,1,,0,319.0,208.5,64.0,75.0
106,0,,0,87.5,8.0,15.0,40.0
106,1,,0,319.0,206.0,64.0,78.0
107,0,,0,87.5,8.0,15.0,40.0
107,1,,0,319.0,204.0,64.0,80.0
108,0,,0,87.5,8.0,15.0,40.0
108,1,,0,319.0,202.0,64.0,82.0
109,0,,0,87.5,8.0,15.0,40.0
109,1,,0,319.0,200.5,64.0,83.0
110,0,,0,87.5,8.0,15.0,40.0
110,1,,0,317.0,200.0,66.0,84.0
111,0,,0,87.5,8.0,15.0,40.0
111,1,,0,315.5,198.0,67.0,86.0
112,0,,0,87.5,8.0,15.0,40.0
112,1,,0,315.5,198.0,67.0,86.0
113,0,,0,87.5,8.0,15.0,40.0
113,1,,0,315.5,196.5,67.0,87.0
114,0,,0,87.5,8.0,15.0,40.0
114,1,,0,314.5,196.5,67.0,87.0
115,0,,0,87.5,8.0,15.0,40.0
115,1,,0,314.0,196.5,66.0,87.0
116,0,,0,87.5,8.0,15.0,40.0
116,1,,0,312.0,196.5,64.0,87.0
117,0,,0,87.5,8.0,15.0,40.0
117,1,,0,310.5,196.5,63.0,87.0
118,0,,0,88.0,8.0,14.0,40.0
118,1,,0,309.0,196.0,64.0,88.0
119,0,,0,87.5,8.0,13.0,40.0
119,1,,0,308.0,194.0,62.0,90.0
120,0,,0,87.0,8.0,14.0,40.0
120,1,,0,306.0,192.5,64.0,91.0
121,0,,0,87.0,8.0,14.0,40.0
121,1,,0,303.0,190.5,64.0,93.0
122,0,,0,87.0,8.0,14.0,40.0
122,1,,0,301.0,190.0,66.0,94.0
123,0,,0,87.0,8.0,14.0,40.0
123,1,,0,299.0,188.0,66.0,96.0
124,0,,0,87.0,8.0,14.0,40.0
124,1,,0,297.0,186.5,66.0,97.0
125,0,,0,86.5,8.0,13.0,40.0
125,1,,0,296.0,186.0,66.0,98.0
126,0,,0,86.5,8.0,13.0,40.0
126,1,2,0,294.0,184.5,68.0,99.0
127,0,,0,86.5,8.0,13.0,40.0
127,1,2,0,291.5,184.5,69.0,99.0
128,0,,0,86.5,8.5,13.0,39.0
128,1,2,0,291.0,186.0,70.0,98.0
129,0,,0,87.0,8.5,12.0,39.0
129,1,,0,290.0,186.0,70.0,98.0
130,0,,0,87.0,8.5,12.0,39.0
130,1,2,0,288.5,186.0,71.0,98.0
131,0,,0,87.0,8.5,12.0,39.0
131,1,3,0,287.5,186.0,71.0,98.0
132,0,,0,87.0,8.5,12.0,39.0
132,1,,0,286.5,184.0,71.0,100.0
133,0,,0,87.0,8.5,12.0,39.0
133,1,3,0,287.0,182.5,70.0,101.0
134,0,,0,87.0,8.5,12.0,39.0
134,1,3,0,287.0,180.5,66.0,103.0
135,0,,0,87.0,8.5,12.0,39.0
135,1,3,0,287.0,180.0,64.0,104.0
136,0,,0,87.0,8.5,12.0,39.0
136,1,3,0,287.0,178.5,62.0,105.0
137,0,,0,85.5,8.5,13.0,39.0
