condition,trial,reference_keypoints,scene_keypoints,matches,inliers,match_rate,found
front,1,648,1431,360,355,0.555556,1
front,2,648,1430,347,345,0.535494,1
front,3,648,1438,344,341,0.530864,1
front,4,648,1443,364,359,0.561728,1
front,5,648,1442,351,349,0.541667,1
front,6,648,1429,334,333,0.515432,1
front,7,648,1434,330,326,0.509259,1
front,8,648,1426,338,336,0.521605,1
front,9,648,1433,330,328,0.509259,1
front,10,648,1438,344,339,0.530864,1
rotate30,1,648,1435,226,215,0.348765,1
rotate30,2,648,1438,231,225,0.356481,1
rotate30,3,648,1442,224,216,0.345679,1
rotate30,4,648,1434,219,214,0.337963,1
rotate30,5,648,1448,217,212,0.334877,1
rotate30,6,648,1443,227,218,0.350309,1
rotate30,7,648,1443,225,220,0.347222,1
rotate30,8,648,1443,224,214,0.345679,1
rotate30,9,648,1438,227,220,0.350309,1
rotate30,10,648,1443,224,215,0.345679,1
rotate60,1,648,1440,222,215,0.342593,1
rotate60,2,648,1441,213,213,0.328704,1
rotate60,3,648,1428,218,212,0.33642,1
rotate60,4,648,1435,215,213,0.33179,1
rotate60,5,648,1441,226,222,0.348765,1
rotate60,6,648,1440,225,221,0.347222,1
rotate60,7,648,1430,214,211,0.330247,1
rotate60,8,648,1430,224,221,0.345679,1
rotate60,9,648,1433,230,228,0.354938,1
rotate60,10,648,1439,236,233,0.364198,1
occlusion30,1,648,1372,328,325,0.506173,1
occlusion30,2,648,1365,313,311,0.483025,1
occlusion30,3,648,1374,311,308,0.479938,1
occlusion30,4,648,1375,328,325,0.506173,1
occlusion30,5,648,1371,320,318,0.493827,1
occlusion30,6,648,1365,306,305,0.472222,1
occlusion30,7,648,1367,300,298,0.462963,1
occlusion30,8,648,1362,299,299,0.46142,1
occlusion30,9,648,1368,304,303,0.469136,1
occlusion30,10,648,1367,309,308,0.476852,1
occlusion50,1,648,1166,172,170,0.265432,1
occlusion50,2,648,1161,167,166,0.257716,1
occlusion50,3,648,1160,165,165,0.25463,1
occlusion50,4,648,1174,172,171,0.265432,1
occlusion50,5,648,1168,170,170,0.262346,1
occlusion50,6,648,1140,158,155,0.243827,1
occlusion50,7,648,1148,161,159,0.248457,1
occlusion50,8,648,1145,157,154,0.242284,1
occlusion50,9,648,1145,149,149,0.229938,1
occlusion50,10,648,1187,163,162,0.251543,1
