video,condition,gt_id,frame_start,frame_end,id_switches,failures,missing_frames,eligible_frames,excluded_frames,overlap_start,overlap_end,post_overlap_switches
single_01,single,1,50,574,0,0,0,525,0,,,
single_02,single,1,50,574,0,0,0,525,0,,,
single_03,single,1,50,574,0,0,0,525,0,,,
single_04,single,1,50,574,0,0,0,525,0,,,
single_05,single,1,50,574,0,0,0,525,0,,,
single_06,single,1,50,574,0,0,0,525,0,,,
single_07,single,1,50,574,0,0,0,525,0,,,
single_08,single,1,50,574,0,0,0,525,0,,,
single_09,single,1,50,574,0,0,0,525,0,,,
single_10,single,1,50,574,0,0,0,525,0,,,
crossing_01,crossing,1,50,574,1,0,16,486,39,265,335,1
crossing_01,crossing,2,50,574,1,1,42,525,0,265,335,1
crossing_02,crossing,1,50,574,2,0,15,491,34,264,340,1
crossing_02,crossing,2,50,574,1,0,37,525,0,264,340,1
crossing_03,crossing,1,50,574,1,0,8,482,43,264,346,1
crossing_03,crossing,2,50,574,2,1,40,525,0,264,346,2
crossing_04,crossing,1,50,574,1,0,22,492,33,265,335,1
crossing_04,crossing,2,50,574,1,1,43,525,0,265,335,1
crossing_05,crossing,1,50,574,1,0,12,487,38,264,340,1
crossing_05,crossing,2,50,574,2,0,41,525,0,264,340,1
crossing_06,crossing,1,50,574,3,0,14,486,39,264,346,3
crossing_06,crossing,2,50,574,1,1,39,525,0,264,346,1
crossing_07,crossing,1,50,574,1,0,16,486,39,265,335,1
crossing_07,crossing,2,50,574,1,1,42,525,0,265,335,1
crossing_08,crossing,1,50,574,2,0,15,491,34,264,340,1
crossing_08,crossing,2,50,574,1,0,37,525,0,264,340,1
crossing_09,crossing,1,50,574,1,0,8,482,43,264,346,1
crossing_09,crossing,2,50,574,2,1,40,525,0,264,346,2
crossing_10,crossing,1,50,574,1,0,22,492,33,265,335,1
crossing_10,crossing,2,50,574,1,1,43,525,0,265,335,1
stopping_01,stopping,1,50,574,1,1,151,525,0,,,
stopping_02,stopping,1,50,574,1,1,151,525,0,,,
stopping_03,stopping,1,50,574,1,1,151,525,0,,,
stopping_04,stopping,1,50,574,1,1,151,525,0,,,
stopping_05,stopping,1,50,574,1,1,151,525,0,,,
lighting_01,lighting,1,50,574,0,2,34,525,0,,,
lighting_02,lighting,1,50,574,0,2,37,525,0,,,
lighting_03,lighting,1,50,574,2,2,37,525,0,,,
lighting_04,lighting,1,50,574,0,2,34,525,0,,,
lighting_05,lighting,1,50,574,1,2,52,525,0,,,
