frame,gt_id,track_id,excluded,x,y,w,h
50,1,1,0,30,95,30,48
50,2,2,0,240,95,30,48
51,1,1,0,30,95,30,48
51,2,2,0,239,95,30,48
52,1,1,0,30,95,30,48
52,2,2,0,239,95,30,48
53,1,1,0,31,95,30,48
53,2,2,0,238,95,30,48
54,1,1,0,31,95,30,48
54,2,2,0,238,95,30,48
55,1,1,0,32,95,30,48
55,2,2,0,237,95,30,48
56,1,1,0,32,95,30,48
56,2,2,0,237,95,30,48
57,1,1,0,32,95,30,48
57,2,2,0,237,95,30,48
58,1,1,0,33,95,30,48
58,2,2,0,236,95,30,48
59,1,1,0,33,95,30,48
59,2,2,0,236,95,30,48
60,1,1,0,34,95,30,48
60,2,2,0,235,95,30,48
61,1,1,0,34,95,30,48
61,2,2,0,235,95,30,48
62,1,1,0,35,95,30,48
62,2,2,0,234,95,30,48
63,1,1,0,35,95,30,48
63,2,2,0,234,95,30,48
64,1,1,0,35,95,30,48
64,2,2,0,234,95,30,48
65,1,1,0,36,95,30,48
65,2,2,0,233,95,30,48
66,1,1,0,36,95,30,48
66,2,2,0,233,95,30,48
67,1,1,0,37,95,30,48
67,2,2,0,232,95,30,48
68,1,1,0,37,95,30,48
68,2,2,0,232,95,30,48
69,1,1,0,37,95,30,48
69,2,2,0,232,95,30,48
70,1,1,0,38,95,30,48
70,2,2,0,231,95,30,48
71,1,1,0,38,95,30,48
71,2,2,0,231,95,30,48
72,1,1,0,39,95,30,48
72,2,2,0,230,95,30,48
73,1,1,0,39,95,30,48
73,2,2,0,230,95,30,48
74,1,1,0,40,95,30,48
74,2,2,0,229,95,30,48
75,1,1,0,40,95,30,48
75,2,2,0,229,95,30,48
76,1,1,0,40,95,30,48
76,2,2,0,229,95,30,48
77,1,1,0,41,95,30,48
77,2,2,0,228,95,30,48
78,1,1,0,41,95,30,48
78,2,2,0,228,95,30,48
79,1,1,0,42,95,30,48
79,2,2,0,227,95,30,48
80,1,1,0,42,95,30,48
80,2,2,0,227,95,30,48
81,1,1,0,43,95,30,48
81,2,2,0,226,95,30,48
82,1,1,0,43,95,30,48
82,2,2,0,226,95,30,48
83,1,1,0,43,95,30,48
83,2,2,0,226,95,30,48
84,1,1,0,44,95,30,48
84,2,2,0,225,95,30,48
85,1,1,0,44,95,30,48
85,2,2,0,225,95,30,48
86,1,1,0,45,95,30,48
86,2,2,0,224,95,30,48
87,1,1,0,45,95,30,48
87,2,2,0,224,95,30,48
88,1,1,0,45,95,30,48
88,2,2,0,224,95,30,48
89,1,1,0,46,95,30,48
89,2,2,0,223,95,30,48
90,1,1,0,46,95,30,48
90,2,2,0,223,95,30,48
91,1,1,0,47,95,30,48
91,2,2,0,222,95,30,48
92,1,1,0,47,95,30,48
92,2,2,0,222,95,30,48
93,1,1,0,48,95,30,48
93,2,2,0,221,95,30,48
94,1,1,0,48,95,30,48
94,2,2,0,221,95,30,48
95,1,1,0,48,95,30,48
95,2,2,0,221,95,30,48
96,1,1,0,49,95,30,48
96,2,2,0,220,95,30,48
97,1,1,0,49,95,30,48
97,2,2,0,220,95,30,48
98,1,1,0,50,95,30,48
98,2,2,0,219,95,30,48
99,1,1,0,50,95,30,48
99,2,2,0,219,95,30,48
100,1,1,0,51,95,30,48
100,2,2,0,219,95,30,48
101,1,1,0,51,95,30,48
101,2,2,0,218,95,30,48
102,1,1,0,51,95,30,48
102,2,2,0,218,95,30,48
103,1,1,0,52,95,30,48
103,2,2,0,217,95,30,48
104,1,1,0,52,95,30,48
104,2,2,0,217,95,30,48
105,1,1,0,53,95,30,48
105,2,2,0,216,95,30,48
106,1,1,0,53,95,30,48
106,2,2,0,216,95,30,48
107,1,1,0,53,95,30,48
107,2,2,0,216,95,30,48
108,1,1,0,54,95,30,48
108,2,2,0,215,95,30,48
109,1,1,0,54,95,30,48
109,2,2,0,215,95,30,48
110,1,1,0,55,95,30,48
110,2,2,0,214,95,30,48
111,1,1,0,55,95,30,48
111,2,2,0,214,95,30,48
112,1,1,0,56,95,30,48
112,2,2,0,213,95,30,48
113,1,1,0,56,95,30,48
113,2,2,0,213,95,30,48
114,1,1,0,56,95,30,48
114,2,2,0,213,95,30,48
115,1,1,0,57,95,30,48
115,2,2,0,212,95,30,48
116,1,1,0,57,95,30,48
116,2,2,0,212,95,30,48
117,1,1,0,58,95,30,48
117,2,2,0,211,95,30,48
118,1,1,0,58,95,30,48
118,2,2,0,211,95,30,48
119,1,1,0,58,95,30,48
119,2,2,0,211,95,30,48
120,1,1,0,59,95,30,48
120,2,2,0,210,95,30,48
121,1,1,0,59,95,30,48
121,2,2,0,210,95,30,48
122,1,1,0,60,95,30,48
122,2,2,0,209,95,30,48
123,1,1,0,60,95,30,48
123,2,2,0,209,95,30,48
124,1,1,0,61,95,30,48
124,2,2,0,208,95,30,48
125,1,1,0,61,95,30,48
125,2,2,0,208,95,30,48
126,1,1,0,61,95,30,48
126,2,2,0,208,95,30,48
127,1,1,0,62,95,30,48
127,2,2,0,207,95,30,48
128,1,1,0,62,95,30,48
128,2,2,0,207,95,30,48
129,1,1,0,63,95,30,48
129,2,2,0,206,95,30,48
130,1,1,0,63,95,30,48
130,2,2,0,206,95,30,48
131,1,1,0,64,95,30,48
131,2,2,0,205,95,30,48
