frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,1,290,267,14,21,0
26,1.04,,,,,,0
27,1.08,1,297,278,16,10,0
28,1.12,,,,,,0
29,1.16,,,,,,0
30,1.2,,,,,,0
31,1.24,,,,,,0
32,1.28,,,,,,0
33,1.32,,,,,,0
34,1.36,,,,,,0
35,1.4,,,,,,0
36,1.44,,,,,,0
37,1.48,,,,,,0
38,1.52,,,,,,0
39,1.56,,,,,,0
40,1.6,,,,,,0
41,1.64,,,,,,0
42,1.68,,,,,,0
43,1.72,,,,,,0
44,1.76,,,,,,0
45,1.8,,,,,,0
46,1.84,,,,,,0
47,1.88,,,,,,0
48,1.92,,,,,,0
49,1.96,,,,,,0
50,2.0,,,,,,0
51,2.04,,,,,,0
52,2.08,,,,,,0
53,2.12,,,,,,0
54,2.16,,,,,,0
55,2.2,,,,,,0
56,2.24,,,,,,0
57,2.28,2,62,185,26,16,0
58,2.32,,,,,,0
59,2.36,2,62,185,31,15,0
60,2.4,2,52,185,36,18,0
61,2.44,2,54,184,37,17,0
62,2.48,2,54,184,34,19,0
63,2.52,2,54,183,34,21,0
64,2.56,2,55,183,34,19,0
65,2.6,2,55,181,33,20,0
66,2.64,2,55,181,40,20,0
67,2.68,2,55,181,33,22,0
68,2.72,2,55,179,40,23,0
69,2.76,2,55,179,34,23,0
69,2.76,3,23,157,27,13,0
70,2.8,2,55,178,34,26,0
70,2.8,3,24,158,24,14,0
70,2.8,4,260,275,16,13,0
71,2.84,2,55,177,39,24,0
71,2.84,4,258,270,19,18,0
72,2.88,2,55,177,41,25,0
72,2.88,4,255,262,22,26,0
73,2.92,2,56,177,39,25,0
73,2.92,4,249,259,28,29,0
74,2.96,2,55,177,41,26,0
74,2.96,4,243,257,34,31,0
75,3.0,2,56,178,43,25,0
75,3.0,4,241,256,36,32,0
76,3.04,2,57,174,43,29,0
76,3.04,4,240,257,37,31,0
77,3.08,2,57,177,41,24,0
77,3.08,4,238,258,40,30,0
78,3.12,2,57,177,37,24,0
78,3.12,4,237,257,40,29,0
79,3.16,2,57,176,39,26,0
79,3.16,4,236,257,39,27,0
80,3.2,2,60,176,38,21,0
80,3.2,4,235,257,40,25,0
81,3.24,2,60,176,38,21,0
81,3.24,4,234,256,41,24,0
82,3.28,2,63,176,29,19,0
82,3.28,4,233,256,44,22,0
83,3.32,2,63,175,30,20,0
83,3.32,4,233,253,43,23,0
84,3.36,2,63,175,28,16,0
84,3.36,4,232,251,43,23,0
85,3.4,2,62,175,36,19,0
85,3.4,4,232,246,40,26,0
86,3.44,2,64,175,34,19,0
86,3.44,4,231,242,39,28,0
87,3.48,2,64,174,35,18,0
87,3.48,4,231,233,37,35,0
88,3.52,2,64,173,36,30,0
88,3.52,4,230,230,37,36,0
89,3.56,2,65,173,38,21,0
89,3.56,4,230,228,35,35,0
90,3.6,2,66,172,42,22,0
90,3.6,4,229,228,36,33,0
91,3.64,2,66,172,43,22,0
91,3.64,4,228,228,36,32,0
92,3.68,2,68,170,41,22,0
92,3.68,4,228,228,36,30,0
93,3.72,2,69,170,41,22,0
93,3.72,4,227,229,37,30,0
94,3.76,2,70,169,40,23,0
94,3.76,4,226,227,39,30,0
95,3.8,2,70,169,38,22,0
95,3.8,4,225,227,40,25,0
96,3.84,2,71,168,37,22,0
96,3.84,4,223,230,41,20,0
97,3.88,2,72,167,36,22,0
97,3.88,4,222,227,42,20,0
