frame,gt_id,track_id,excluded,x,y,w,h
50,1,1,0,30,95,34,48
51,1,1,0,30,95,34,48
52,1,1,0,30,95,34,48
53,1,1,0,31,95,34,48
54,1,1,0,31,95,34,48
55,1,1,0,32,95,34,48
56,1,1,0,32,95,34,48
57,1,1,0,32,95,34,48
58,1,1,0,33,95,34,48
59,1,1,0,33,95,34,48
60,1,1,0,34,95,34,48
61,1,1,0,34,95,34,48
62,1,1,0,34,95,34,48
63,1,1,0,35,95,34,48
64,1,1,0,35,95,34,48
65,1,1,0,36,95,34,48
66,1,1,0,36,95,34,48
67,1,1,0,37,95,34,48
68,1,1,0,37,95,34,48
69,1,1,0,37,95,34,48
70,1,1,0,38,95,34,48
71,1,1,0,38,95,34,48
72,1,1,0,39,95,34,48
73,1,1,0,39,95,34,48
74,1,1,0,39,95,34,48
75,1,1,0,40,95,34,48
76,1,1,0,40,95,34,48
77,1,1,0,41,95,34,48
78,1,1,0,41,95,34,48
79,1,1,0,41,95,34,48
80,1,1,0,42,95,34,48
81,1,1,0,42,95,34,48
82,1,1,0,43,95,34,48
83,1,1,0,43,95,34,48
84,1,1,0,44,95,34,48
85,1,1,0,44,95,34,48
86,1,1,0,44,95,34,48
87,1,1,0,45,95,34,48
88,1,1,0,45,95,34,48
89,1,1,0,46,95,34,48
90,1,1,0,46,95,34,48
91,1,1,0,46,95,34,48
92,1,1,0,47,95,34,48
93,1,1,0,47,95,34,48
94,1,1,0,48,95,34,48
95,1,1,0,48,95,34,48
96,1,1,0,48,95,34,48
97,1,1,0,49,95,34,48
98,1,1,0,49,95,34,48
99,1,1,0,50,95,34,48
100,1,1,0,50,95,34,48
101,1,1,0,51,95,34,48
102,1,1,0,51,95,34,48
103,1,1,0,51,95,34,48
104,1,1,0,52,95,34,48
105,1,1,0,52,95,34,48
106,1,1,0,53,95,34,48
107,1,1,0,53,95,34,48
108,1,1,0,53,95,34,48
109,1,1,0,54,95,34,48
110,1,1,0,54,95,34,48
111,1,1,0,55,95,34,48
112,1,1,0,55,95,34,48
113,1,1,0,55,95,34,48
114,1,1,0,56,95,34,48
115,1,1,0,56,95,34,48
116,1,1,0,57,95,34,48
117,1,1,0,57,95,34,48
118,1,1,0,58,95,34,48
119,1,1,0,58,95,34,48
120,1,1,0,58,95,34,48
121,1,1,0,59,95,34,48
122,1,1,0,59,95,34,48
123,1,1,0,60,95,34,48
124,1,1,0,60,95,34,48
125,1,1,0,60,95,34,48
126,1,1,0,61,95,34,48
127,1,1,0,61,95,34,48
128,1,1,0,62,95,34,48
129,1,1,0,62,95,34,48
130,1,1,0,62,95,34,48
131,1,1,0,63,95,34,48
