frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,,,,,,0
26,1.04,,,,,,0
27,1.08,,,,,,0
28,1.12,,,,,,0
29,1.16,,,,,,0
30,1.2,,,,,,0
31,1.24,,,,,,0
32,1.28,,,,,,0
33,1.32,,,,,,0
34,1.36,,,,,,0
35,1.4,,,,,,0
36,1.44,,,,,,0
37,1.48,,,,,,0
38,1.52,,,,,,0
39,1.56,,,,,,0
40,1.6,,,,,,0
41,1.64,,,,,,0
42,1.68,,,,,,0
43,1.72,,,,,,0
44,1.76,,,,,,0
45,1.8,,,,,,0
46,1.84,,,,,,0
47,1.88,,,,,,0
48,1.92,,,,,,0
49,1.96,,,,,,0
50,2.0,1,86,69,182,182,1
51,2.04,1,87,68,182,183,1
52,2.08,1,87,69,183,182,1
53,2.12,1,87,69,184,183,1
54,2.16,1,87,69,184,182,1
55,2.2,1,88,69,184,183,1
56,2.24,1,88,68,184,184,1
57,2.28,1,88,68,184,184,1
58,2.32,1,89,68,185,184,1
59,2.36,1,88,68,186,185,1
60,2.4,1,135,68,139,181,1
60,2.4,2,90,71,78,181,1
60,2.4,3,115,96,18,16,1
60,2.4,4,138,75,23,16,1
60,2.4,5,205,91,36,26,1
60,2.4,6,208,84,14,14,1
60,2.4,7,231,75,14,17,1
61,2.44,1,139,68,136,181,1
61,2.44,2,93,121,43,125,1
61,2.44,3,116,98,17,14,1
61,2.44,4,139,76,20,12,1
61,2.44,5,136,96,124,80,1
61,2.44,8,90,76,34,78,1
61,2.44,9,116,227,25,11,1
61,2.44,10,132,180,19,20,1
61,2.44,11,142,230,21,15,1
61,2.44,12,208,168,41,20,1
62,2.48,1,141,83,135,165,1
62,2.48,2,93,121,43,124,1
62,2.48,3,118,98,16,14,1
62,2.48,4,139,76,19,12,1
62,2.48,5,138,96,122,92,1
62,2.48,6,222,93,12,20,1
62,2.48,7,260,67,11,13,1
62,2.48,8,91,76,33,56,1
62,2.48,9,116,227,25,11,1
62,2.48,10,134,180,18,20,1
62,2.48,11,142,230,20,14,1
63,2.52,1,167,67,109,181,1
63,2.52,2,93,121,44,96,1
63,2.52,3,119,99,15,13,1
63,2.52,4,140,76,19,12,1
63,2.52,5,139,96,121,80,1
63,2.52,8,94,75,23,49,1
63,2.52,9,119,228,23,10,1
63,2.52,10,135,180,17,20,1
63,2.52,11,143,230,20,13,1
63,2.52,12,210,168,25,20,1
63,2.52,13,94,199,15,48,1
63,2.52,14,100,120,25,12,1
63,2.52,15,143,205,22,13,1
64,2.56,1,167,66,110,182,1
64,2.56,2,94,121,44,132,1
64,2.56,3,119,100,15,12,1
64,2.56,4,141,76,19,12,1
64,2.56,5,184,124,20,21,1
64,2.56,6,233,110,18,23,1
64,2.56,8,95,82,22,24,1
64,2.56,9,119,228,23,10,1
64,2.56,10,135,181,18,19,1
64,2.56,11,143,230,21,13,1
64,2.56,12,211,168,25,20,1
64,2.56,14,92,106,34,26,1
64,2.56,15,143,205,23,13,1
64,2.56,16,139,144,27,32,1
64,2.56,17,156,96,40,48,1
64,2.56,18,174,125,86,44,1
65,2.6,1,168,87,109,161,1
65,2.6,2,95,122,43,131,1
65,2.6,3,119,99,15,14,1
65,2.6,4,141,76,19,12,1
65,2.6,5,185,124,19,20,1
65,2.6,6,234,113,13,21,1
65,2.6,7,246,67,26,16,1
65,2.6,8,91,76,26,61,1
65,2.6,9,119,228,24,10,1
