frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,1,22,172,13,73,0
25,1.0,2,76,62,49,222,0
25,1.0,3,95,48,22,37,0
25,1.0,4,121,9,8,39,0
26,1.04,1,23,211,12,34,0
26,1.04,2,76,104,27,180,0
26,1.04,3,94,48,23,28,0
26,1.04,5,94,133,14,16,0
26,1.04,6,99,62,27,141,0
27,1.08,1,23,211,12,24,0
27,1.08,2,78,105,25,179,0
27,1.08,3,94,48,23,25,0
27,1.08,6,100,62,27,141,0
28,1.12,1,22,212,13,23,0
28,1.12,2,78,188,22,96,0
28,1.12,3,94,48,23,25,0
28,1.12,4,111,58,9,21,0
28,1.12,5,81,119,22,65,0
28,1.12,6,101,81,26,119,0
29,1.16,2,78,200,22,84,0
29,1.16,4,111,61,8,19,0
29,1.16,5,82,121,22,62,0
29,1.16,6,102,81,25,119,0
30,1.2,2,80,209,16,75,0
30,1.2,4,102,61,17,65,0
30,1.2,5,83,121,21,63,0
30,1.2,6,110,124,18,78,0
31,1.24,2,81,209,19,75,0
31,1.24,4,102,61,17,64,0
31,1.24,5,83,121,21,63,0
31,1.24,6,110,124,18,78,0
32,1.28,1,87,251,8,33,0
32,1.28,2,81,209,19,41,0
32,1.28,4,102,61,17,57,0
32,1.28,5,85,121,17,63,0
32,1.28,6,111,124,17,75,0
33,1.32,1,87,251,9,33,0
33,1.32,2,82,211,14,17,0
33,1.32,3,95,48,18,24,0
33,1.32,4,102,61,16,58,0
33,1.32,5,85,122,18,64,0
33,1.32,6,112,125,15,74,0
34,1.36,2,83,211,13,17,0
34,1.36,3,96,47,17,21,0
34,1.36,4,103,61,15,57,0
34,1.36,5,85,122,18,65,0
34,1.36,6,112,128,16,71,0
35,1.4,3,96,47,17,21,0
35,1.4,4,103,61,14,44,0
35,1.4,5,86,122,17,65,0
35,1.4,6,114,128,14,52,0
36,1.44,3,96,46,17,21,0
36,1.44,4,103,61,14,46,0
36,1.44,5,86,122,17,65,0
36,1.44,6,116,129,11,35,0
37,1.48,3,96,46,17,21,0
37,1.48,4,103,61,14,46,0
37,1.48,5,86,122,18,65,0
38,1.52,3,96,47,17,19,0
38,1.52,4,98,60,20,47,0
38,1.52,5,87,122,17,66,0
39,1.56,4,98,61,19,46,0
39,1.56,5,87,123,17,65,0
40,1.6,3,98,47,14,17,0
40,1.6,4,103,60,14,47,0
40,1.6,5,87,123,17,65,0
41,1.64,4,96,60,21,47,0
41,1.64,5,94,153,10,36,0
41,1.64,6,88,124,8,28,0
42,1.68,4,103,60,14,47,0
43,1.72,3,96,48,15,17,0
43,1.72,4,103,60,14,47,0
44,1.76,4,103,60,14,46,0
45,1.8,3,96,47,15,18,0
45,1.8,4,96,60,21,46,0
46,1.84,3,92,46,19,25,0
46,1.84,4,95,60,21,43,0
47,1.88,3,92,46,19,25,0
47,1.88,4,95,60,20,43,0
48,1.92,3,91,45,20,25,0
48,1.92,4,104,59,11,46,0
48,1.92,6,94,79,8,19,0
49,1.96,3,90,45,16,25,0
49,1.96,4,103,59,12,46,0
49,1.96,6,94,79,8,19,0
50,2.0,3,89,45,17,25,0
50,2.0,4,104,59,11,46,0
51,2.04,3,88,46,17,25,0
51,2.04,4,103,58,11,47,0
52,2.08,3,88,46,17,25,0
52,2.08,4,103,58,11,47,0
53,2.12,2,59,235,12,13,0
53,2.12,3,83,46,22,28,0
53,2.12,4,94,60,20,45,0
