frame,tp,fg_pixels,fp,bg_pixels,person_raw_background,person_raw_shadow,person_raw_foreground
0,0,0,0,101376,0,0,0
1,0,0,0,101376,0,0,0
2,0,0,0,101376,0,0,0
3,0,0,0,101376,0,0,0
4,0,0,0,101376,0,0,0
5,0,0,0,101376,0,0,0
6,0,0,0,101376,0,0,0
7,0,0,0,101376,0,0,0
8,0,0,0,101376,0,0,0
9,0,0,0,101376,0,0,0
10,0,0,0,101376,0,0,0
11,0,0,0,101376,0,0,0
12,0,0,0,101376,0,0,0
13,0,0,0,101376,0,0,0
14,0,0,4,101376,0,0,0
15,0,0,4,101376,0,0,0
16,0,0,4,101376,0,0,0
17,0,0,4,101376,0,0,0
18,0,0,4,101376,0,0,0
19,0,0,4,101376,0,0,0
20,0,0,4,101376,0,0,0
21,0,0,4,101376,0,0,0
22,0,0,4,101376,0,0,0
23,0,0,4,101376,0,0,0
24,0,0,0,101376,0,0,0
25,0,0,0,101376,0,0,0
26,0,0,0,101376,0,0,0
27,0,0,0,101376,0,0,0
28,0,0,0,101376,0,0,0
29,0,0,0,101376,0,0,0
30,0,0,0,101376,0,0,0
31,0,0,0,101376,0,0,0
32,0,0,0,101376,0,0,0
33,0,0,0,101376,0,0,0
34,0,0,0,101376,0,0,0
35,0,0,0,101376,0,0,0
36,0,0,0,101376,0,0,0
37,0,0,0,101376,0,0,0
38,0,0,0,101376,0,0,0
39,0,0,0,101376,0,0,0
40,0,0,0,101376,0,0,0
41,0,0,0,101376,0,0,0
42,0,0,0,101376,0,0,0
43,0,0,0,101376,0,0,0
44,0,0,0,101376,0,0,0
45,0,0,0,101376,0,0,0
46,0,0,0,101376,0,0,0
47,0,0,0,101376,0,0,0
48,0,0,4,101376,0,0,0
49,0,0,4,101376,0,0,0
50,0,0,4,101376,0,0,0
51,0,0,4,101376,0,0,0
52,0,0,4,101376,0,0,0
53,0,0,4,101376,0,0,0
54,0,0,4,101376,0,0,0
55,0,0,4,101376,0,0,0
56,0,0,4,101376,0,0,0
57,0,0,4,101376,0,0,0
58,0,0,4,101376,0,0,0
59,0,0,0,101376,0,0,0
60,0,0,0,101376,0,0,0
61,0,0,0,101376,0,0,0
62,68,68,0,101269,0,0,68
63,131,134,0,101181,0,3,131
64,78,79,0,101236,0,1,78
65,20,23,0,101318,0,3,20
66,24,28,0,101327,0,3,25
67,49,54,24,101277,0,4,50
68,166,174,0,101069,0,6,168
69,274,324,0,100855,13,30,281
70,913,1523,0,99426,263,327,933
71,2812,3402,1,97449,252,373,2777
72,4979,5624,14,95081,212,488,4924
73,6973,7828,7,92691,506,351,6971
74,8554,9603,3,90820,740,406,8457
75,9338,10792,12,89507,1053,486,9253
76,10190,12145,18,88132,1358,622,10165
