frame,foreground_pixels,foreground_fraction,boxes,mean_gray
0,0,0.0,0,93.79603653724747
1,0,0.0,0,93.77502564709596
2,0,0.0,0,93.80637428977273
3,0,0.0,0,93.77569641729798
4,0,0.0,0,93.78811553030303
5,0,0.0,0,93.76495422979798
6,0,0.0,0,93.78646819760101
7,0,0.0,0,93.78274936868686
8,0,0.0,0,93.79089725378788
9,0,0.0,0,93.77233270202021
10,0,0.0,0,93.78338068181819
11,0,0.0,0,93.77317116477273
12,0,0.0,0,93.76162010732324
13,0,0.0,0,93.74161537247475
14,0,0.0,0,93.76164970012626
15,0,0.0,0,93.74840198863636
16,0,0.0,0,93.76017992424242
17,0,0.0,0,93.7495758364899
18,0,0.0,0,93.7663450915404
19,0,0.0,0,93.75805910669192
20,0,0.0,0,93.76922545770202
21,0,0.0,0,93.75550426136364
22,0,0.0,0,93.7729738794192
23,0,0.0,0,93.76171875
24,0,0.0,0,93.75936119002525
25,0,0.0,0,93.73082386363636
26,0,0.0,0,93.76382970328282
27,0,0.0,0,93.75367937184343
28,0,0.0,0,93.76128472222223
29,0,0.0,0,93.74700126262626
30,0,0.0,0,93.75640190972223
31,0,0.0,0,93.74642913510101
32,0,0.0,0,93.75797032828282
33,0,0.0,0,93.75302833017676
34,0,0.0,0,93.76489504419192
35,0,0.0,0,93.76672979797979
36,0,0.0,0,93.76705531881314
37,0,0.0,0,93.73982007575758
38,0,0.0,0,93.75821693497475
39,0,0.0,0,93.74202967171718
40,0,0.0,0,93.75151909722223
41,0,0.0,0,93.73311237373737
42,0,0.0,0,93.74418994633838
43,0,0.0,0,93.73024187184343
44,0,0.0,0,93.7560270675505
45,0,0.0,0,93.74713936237374
46,0,0.0,0,93.7548828125
47,0,0.0,0,93.73456242108585
48,0,0.0,0,93.69303385416667
49,0,0.0,0,93.62837357954545
50,0,0.0,0,93.66991201073232
51,0,0.0,0,93.65298492739899
52,0,0.0,0,93.65852864583333
53,0,0.0,0,93.63709359217172
54,0,0.0,0,93.65621054292929
55,0,0.0,0,93.61487926136364
56,0,0.0,0,93.63524897411617
57,0,0.0,0,93.61904198232324
58,0,0.0,0,93.62913312815657
59,0,0.0,0,93.6053010574495
60,0,0.0,0,93.49809619633838
61,0,0.0,0,93.44800544507575
62,81,0.0007990056818181819,0,93.43322877209596
63,134,0.0013218118686868687,1,93.37636126893939
64,89,0.0008779198232323232,0,93.42983546401516
65,22,0.00021701388888888888,0,93.43334714330808
66,24,0.00023674242424242425,0,93.45156644570707
67,77,0.0007595486111111111,0,93.42876025883838
68,193,0.0019038036616161615,1,93.38468671085859
69,312,0.003077651515151515,1,93.35743173926768
70,1026,0.010120738636363636,3,93.35691879734848
71,2941,0.029010811237373736,2,92.87918244949495
72,5218,0.051471748737373736,2,92.03745462436869
73,7263,0.07164417613636363,1,91.05800189393939
74,8804,0.08684501262626262,1,90.20162563131314
75,9747,0.09614701704545454,1,89.41190222537878
76,10652,0.1050741792929293,1,88.96348248106061
77,11162,0.11010495580808081,1,88.4881924715909
78,11031,0.10881273674242424,2,88.45219775883838
79,11290,0.11136758207070707,2,88.23611111111111
80,11391,0.11236387310606061,2,88.45706084280303
81,10921,0.10772766729797979,2,88.33673650568181
82,10384,0.10243055555555555,4,88.26985677083333
83,10476,0.10333806818181818,3,87.8101227114899
84,10212,0.10073390151515152,1,87.91612413194444
85,10389,0.10247987689393939,1,87.35805318813131
86,10554,0.10410748106060606,1,87.17904632260101
87,10093,0.09956005366161616,1,87.13915522411617
88,9003,0.08880800189393939,2,87.73443418560606
89,8963,0.08841343118686869,3,87.47209398674242
90,10107,0.09969815340909091,4,87.46763533775253
91,11126,0.10974984217171717,5,87.8828125
92,13222,0.1304253472222222,7,88.56228298611111
93,13541,0.1335720486111111,5,88.74809619633838
94,14568,0.14370265151515152,4,88.95687342171718
95,13823,0.13635377209595959,8,89.02238202335859
96,16947,0.16716974431818182,8,89.56702769886364
97,15911,0.1569503630050505,11,89.6481415719697
98,14421,0.14225260416666666,9,89.84740964330808
99,11531,0.11374487058080808,12,89.90520438762626
100,9114,0.08990293560606061,4,90.02969144570707
101,7738,0.07632970328282829,2,89.77767913510101
102,7119,0.07022372159090909,2,89.82738517992425
103,6622,0.06532118055555555,4,89.97582267992425
