rate,window,start,end,foreground_recall,background_fpr,person_raw_background_fraction,person_raw_shadow_fraction,person_raw_foreground_fraction
0.001,approach,80,169,0.9094257703967646,0.13208499812692465,0.06511268773377721,0.021075549198432943,0.9138117630677899
0.001,stationary,177,256,0.9742750659030998,0.3594792008639499,0.014153258794655031,0.011426233978729206,0.9744205072266158
0.001,lighting,205,249,0.9714766264391732,0.538229611450719,0.015067970592315162,0.01569219031765848,0.9692398390900263
0.001,return,270,379,0.8037507454082029,0.18326268577624394,0.12525665994353893,0.05293926223997436,0.8218040778164867
0.001,empty,420,524,,4.6972703222703224e-07,,,
0.01,approach,80,169,0.6601372547778629,0.009242686300889985,0.2927919090143858,0.024073382572904735,0.6831347084127095
0.01,stationary,177,256,0.26192164348695574,0.08106169071494017,0.6411053540587219,0.04033269702754295,0.3185619489137351
0.01,lighting,205,249,0.30330142876959354,0.1435493022153916,0.577819392426134,0.05198363157164655,0.37019697600221946
0.01,return,270,379,0.5924116206041564,0.0016013446273598895,0.30058162488251045,0.056515569739648115,0.6429028053778414
0.01,empty,420,524,,0.0,,,
0.1,approach,80,169,0.00016033450841650685,1.168481201123892e-06,0.8131744333968343,0.1845597868394904,0.0022657797636753733
0.1,stationary,177,256,0.0,6.110717910023828e-05,0.9014816834833197,0.09730933551495319,0.0012089810017271157
0.1,lighting,205,249,0.0,0.00010851772601328427,0.9043903454015814,0.09389305035372451,0.0017166042446941324
0.1,return,270,379,0.0007796845911528925,5.749546863837794e-07,0.7687012800372662,0.22621094763063435,0.0050877723320993835
0.1,empty,420,524,,0.0,,,
