variant,condition,trials,id_switches,post_overlap_switches,failures,failed_trials,failure_rate,switch_trials,miss_rate
baseline,single,10,0,,0,0,0.0,0,0.0
baseline,crossing,10,27,24,7,7,0.7,10,0.05451851851851852
baseline,stopping,5,5,,5,5,1.0,5,0.2876190476190476
baseline,lighting,5,3,,10,5,1.0,2,0.0739047619047619
lr_0.001,single,10,0,,0,0,0.0,0,0.0
lr_0.001,crossing,10,20,20,20,10,1.0,10,0.04345679012345679
lr_0.001,stopping,5,5,,5,5,1.0,5,0.09714285714285714
lr_0.001,lighting,5,7,,5,5,1.0,5,0.20952380952380953
lr_0.1,single,10,0,,10,10,1.0,0,1.0
lr_0.1,crossing,10,0,0,30,10,1.0,0,1.0
lr_0.1,stopping,5,0,,5,5,1.0,0,1.0
lr_0.1,lighting,5,0,,5,5,1.0,0,1.0
kernel_1,single,10,0,,0,0,0.0,0,0.0
kernel_1,crossing,10,20,16,13,10,1.0,10,0.029135802469135802
kernel_1,stopping,5,5,,5,5,1.0,5,0.2822857142857143
kernel_1,lighting,5,1,,10,5,1.0,1,0.07238095238095238
kernel_7,single,10,0,,10,10,1.0,0,0.9786666666666667
kernel_7,crossing,10,0,0,40,10,1.0,0,0.9751111111111112
kernel_7,stopping,5,0,,8,5,1.0,0,0.9775238095238096
kernel_7,lighting,5,0,,5,5,1.0,0,0.9786666666666667
distance_20,single,10,0,,0,0,0.0,0,0.0
distance_20,crossing,10,27,24,7,7,0.7,10,0.05451851851851852
distance_20,stopping,5,5,,5,5,1.0,5,0.2876190476190476
distance_20,lighting,5,3,,10,5,1.0,3,0.0739047619047619
distance_80,single,10,0,,0,0,0.0,0,0.0
distance_80,crossing,10,27,24,7,7,0.7,10,0.05451851851851852
distance_80,stopping,5,5,,5,5,1.0,5,0.2876190476190476
distance_80,lighting,5,3,,10,5,1.0,2,0.0739047619047619
velocity,single,10,0,,0,0,0.0,0,0.0
velocity,crossing,10,41,19,7,7,0.7,10,0.05451851851851852
velocity,stopping,5,5,,5,5,1.0,5,0.2876190476190476
velocity,lighting,5,5,,10,5,1.0,3,0.0739047619047619
