variant,video,condition,frame_start,frame_end,id_switches,failures,missing_frames,eligible_frames,excluded_frames,failure_event,switch_event,miss_rate,note,overlap_start,overlap_end,post_overlap_switches
baseline,single_01,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_02,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_03,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_04,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_05,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_06,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_07,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_08,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_09,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,single_10,single,50,574,0,0,0,525,0,0,0,0.0,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,crossing_01,crossing,50,574,2,1,58,1011,39,1,1,0.057369,synthetic; one scripted event; exact rear-object occlusion mask,265,335,2
baseline,crossing_02,crossing,50,574,3,0,52,1016,34,0,1,0.051181,synthetic; one scripted event; exact rear-object occlusion mask,264,340,2
baseline,crossing_03,crossing,50,574,3,1,48,1007,43,1,1,0.047666,synthetic; one scripted event; exact rear-object occlusion mask,264,346,3
baseline,crossing_04,crossing,50,574,2,1,65,1017,33,1,1,0.063913,synthetic; one scripted event; exact rear-object occlusion mask,265,335,2
baseline,crossing_05,crossing,50,574,3,0,53,1012,38,0,1,0.052372,synthetic; one scripted event; exact rear-object occlusion mask,264,340,2
baseline,crossing_06,crossing,50,574,4,1,53,1011,39,1,1,0.052423,synthetic; one scripted event; exact rear-object occlusion mask,264,346,4
baseline,crossing_07,crossing,50,574,2,1,58,1011,39,1,1,0.057369,synthetic; one scripted event; exact rear-object occlusion mask,265,335,2
baseline,crossing_08,crossing,50,574,3,0,52,1016,34,0,1,0.051181,synthetic; one scripted event; exact rear-object occlusion mask,264,340,2
baseline,crossing_09,crossing,50,574,3,1,48,1007,43,1,1,0.047666,synthetic; one scripted event; exact rear-object occlusion mask,264,346,3
baseline,crossing_10,crossing,50,574,2,1,65,1017,33,1,1,0.063913,synthetic; one scripted event; exact rear-object occlusion mask,265,335,2
baseline,stopping_01,stopping,50,574,1,1,151,525,0,1,1,0.287619,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,stopping_02,stopping,50,574,1,1,151,525,0,1,1,0.287619,synthetic; one scripted event; exact rear-object occlusion mask,,,
baseline,stopping_03,stopping,50,574,1,1,151,525,0,1,1,0.287619,synthetic; one scripted event; exact rear-object occlusion mask,,,
