video,gt_id,start,end,length,observed_id
single_01,1,50,574,525,1
single_02,1,50,574,525,1
single_03,1,50,574,525,1
single_04,1,50,574,525,1
single_05,1,50,574,525,1
single_06,1,50,574,525,1
single_07,1,50,574,525,1
single_08,1,50,574,525,1
single_09,1,50,574,525,1
single_10,1,50,574,525,1
crossing_01,1,50,272,223,1
crossing_01,1,273,273,1,missing
crossing_01,1,274,280,7,1
crossing_01,1,281,319,39,excluded
crossing_01,1,320,384,65,4
crossing_01,1,385,385,1,missing
crossing_01,1,386,386,1,4
crossing_01,1,387,392,6,missing
crossing_01,1,393,393,1,4
crossing_01,1,394,399,6,missing
crossing_01,1,400,401,2,4
crossing_01,1,402,402,1,missing
crossing_01,1,403,406,4,4
crossing_01,1,407,407,1,missing
crossing_01,1,408,574,167,4
crossing_01,2,50,261,212,2
crossing_01,2,262,280,19,missing
crossing_01,2,281,287,7,1
crossing_01,2,288,288,1,missing
crossing_01,2,289,294,6,1
crossing_01,2,295,295,1,missing
crossing_01,2,296,296,1,1
crossing_01,2,297,297,1,missing
crossing_01,2,298,298,1,1
crossing_01,2,299,300,2,missing
crossing_01,2,301,303,3,1
crossing_01,2,304,304,1,missing
crossing_01,2,305,305,1,1
crossing_01,2,306,307,2,missing
crossing_01,2,308,308,1,1
crossing_01,2,309,309,1,missing
crossing_01,2,310,384,75,1
crossing_01,2,385,385,1,missing
crossing_01,2,386,386,1,1
crossing_01,2,387,388,2,missing
crossing_01,2,389,389,1,1
crossing_01,2,390,392,3,missing
crossing_01,2,393,393,1,1
crossing_01,2,394,397,4,missing
crossing_01,2,398,398,1,1
crossing_01,2,399,400,2,missing
crossing_01,2,401,401,1,1
crossing_01,2,402,402,1,missing
crossing_01,2,403,403,1,1
crossing_01,2,404,404,1,missing
crossing_01,2,405,574,170,1
crossing_02,1,50,261,212,1
crossing_02,1,262,270,9,3
crossing_02,1,271,271,1,1
crossing_02,1,272,272,1,3
crossing_02,1,273,273,1,1
crossing_02,1,274,276,3,missing
crossing_02,1,277,278,2,3
crossing_02,1,279,279,1,missing
crossing_02,1,280,280,1,3
crossing_02,1,281,281,1,missing
crossing_02,1,282,283,2,1
